ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224741,HY411610,9/5/2015 13:00,0000X N LARAMIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1522,15,28,25,08A,1141706,1900086,2015,2/10/2018 15:50,41.88190344,-87.75512115,"(41.881903443, -87.755121152)"
10224765,HY411328,9/5/2015 8:45,077XX S SOUTH SHORE DR,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08A,1197240,1854764,2015,2/10/2018 15:50,41.75633032,-87.5527162,"(41.756330319, -87.552716204)"
10224778,HY411675,9/5/2015 14:44,047XX N KEELER AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1722,17,39,14,08A,1147525,1931300,2015,2/10/2018 15:50,41.96744801,-87.73295114,"(41.967448012, -87.732951137)"
10224800,HY411723,9/5/2015 14:30,037XX N BROADWAY,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1925,19,46,6,7,1170388,1925225,2015,2/10/2018 15:50,41.95030761,-87.64906489,"(41.950307614, -87.649064886)"
10224846,HY411839,9/5/2015 16:00,015XX S HARDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1014,10,24,29,7,1150299,1892186,2015,2/10/2018 15:50,41.86006173,-87.72377349,"(41.860061733, -87.723773492)"
10224864,HY410860,9/4/2015 21:30,001XX E 78TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,623,6,6,69,04A,1178659,1853330,2015,2/10/2018 15:50,41.75283774,-87.62085454,"(41.75283774, -87.620854539)"
10224876,HY411885,9/5/2015 1:00,021XX N MILWAUKEE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1431,14,1,22,7,1158820,1913933,2015,11/25/2015 15:57,41.91956717,-87.69189832,"(41.919567169, -87.691898319)"
10224893,HY411773,9/5/2015 12:15,075XX N WOLCOTT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2424,24,49,1,7,1162424,1950004,2015,2/10/2018 15:50,42.01847282,-87.67764243,"(42.018472824, -87.677642429)"
10224905,HY411891,9/5/2015 14:00,083XX S ADA ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,613,6,21,71,7,1168782,1849423,2015,2/10/2018 15:50,41.74233514,-87.65716223,"(41.742335144, -87.657162229)"
10224915,HY411726,9/4/2015 21:00,012XX N MASON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2531,25,29,25,7,1136466,1907728,2015,2/10/2018 15:50,41.90296934,-87.77417979,"(41.902969343, -87.774179787)"
10224926,HY411754,9/5/2015 1:00,017XX E 56TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,5,41,7,1188708,1868206,2015,2/10/2018 15:50,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
10224930,HY411813,9/5/2015 16:31,030XX W JACKSON BLVD,560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,1124,11,28,27,08A,1156223,1898534,2015,2/10/2018 15:50,41.87736384,-87.70185654,"(41.877363835, -87.701856542)"
10224941,HY411964,9/5/2015 19:00,078XX S SOUTH SHORE DR,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,421,4,7,43,08A,1197884,1853980,2015,2/10/2018 15:50,41.75416291,-87.55038228,"(41.75416291, -87.550382277)"
10224950,HY411956,9/5/2015 18:40,014XX W MORSE AVE,560,ASSAULT,SIMPLE,BAR OR TAVERN,TRUE,FALSE,2431,24,49,1,08A,1165455,1946173,2015,2/10/2018 15:50,42.00789624,-87.6665987,"(42.007896244, -87.666598695)"
10224957,HY411970,9/5/2015 19:09,057XX S ELIZABETH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,TRUE,FALSE,713,7,16,67,04A,1168971,1866665,2015,2/10/2018 15:50,41.78964533,-87.65597223,"(41.78964533, -87.655972231)"
10225025,HY411856,9/5/2015 17:25,025XX W DIVISION ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1423,14,26,24,08A,1159437,1907897,2015,2/10/2018 15:50,41.90299123,-87.68979776,"(41.902991231, -87.689797763)"
10225048,HY412102,9/5/2015 21:10,016XX W ALBION AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2432,24,40,1,08A,1164273,1943913,2015,2/10/2018 15:50,42.00171993,-87.67101185,"(42.001719931, -87.671011848)"
10225067,HY412095,9/5/2015 21:15,002XX W 32ND ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,TRUE,FALSE,915,9,11,34,7,1175057,1883732,2015,9/17/2015 11:37,41.83634502,-87.63314692,"(41.836345017, -87.633146918)"
10225087,HY412143,9/5/2015 22:55,049XX W ST PAUL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,FALSE,FALSE,2533,25,37,25,7,1143015,1911179,2015,2/10/2018 15:50,41.91231961,-87.75003753,"(41.912319611, -87.750037527)"
10225093,HY412038,9/5/2015 21:00,031XX W CHICAGO AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1221,12,27,23,08A,1155093,1905157,2015,2/10/2018 15:50,41.89556073,-87.70582778,"(41.895560734, -87.705827783)"
10225098,HY412166,9/5/2015 22:15,045XX N MARINE DR,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,PARK PROPERTY,FALSE,FALSE,1914,19,46,3,04A,1170527,1930447,2015,2/10/2018 15:50,41.9646339,-87.64840051,"(41.964633904, -87.648400513)"
10225100,HY412115,9/5/2015 22:00,027XX E 75TH PL,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,421,4,7,43,04A,1195648,1855471,2015,2/10/2018 15:50,41.75830987,-87.5585271,"(41.758309871, -87.558527098)"
10225123,HY412174,9/5/2015 23:05,020XX W 69TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,735,7,17,67,7,1164032,1858566,2015,2/10/2018 15:50,41.76752595,-87.67430967,"(41.767525954, -87.67430967)"
